"d","med","avg","mature"
1993-01-01,1.29911019849418,1.70269873863303,TRUE
1993-02-01,1.23477070499658,1.68786099403197,TRUE
1993-03-01,1.23477070499658,1.68786099403197,TRUE
1993-04-01,1.36344969199179,1.72823350618917,TRUE
1993-05-01,1.36344969199179,1.72823350618917,TRUE
1993-06-01,1.29911019849418,1.70992470910335,TRUE
1993-07-01,1.29911019849418,1.70992470910335,TRUE
1993-08-01,1.29911019849418,1.70992470910335,TRUE
1993-09-01,1.29911019849418,1.70992470910335,TRUE
1993-10-01,1.29911019849418,1.70992470910335,TRUE
1993-11-01,1.29911019849418,1.70992470910335,TRUE
1993-12-01,1.29911019849418,1.70992470910335,TRUE
1994-01-01,1.19096509240246,1.68307169194763,TRUE
1994-02-01,1.19096509240246,1.72236481861739,TRUE
1994-03-01,1.65092402464066,1.74481620163466,TRUE
1994-04-01,1.35797399041752,1.73194412756357,TRUE
1994-05-01,1.06091718001369,1.65503080082136,TRUE
1994-06-01,1.06091718001369,1.65503080082136,TRUE
1994-07-01,1.05681040383299,1.63728845405376,TRUE
1994-08-01,1.05681040383299,1.63728845405376,TRUE
1994-09-01,1.35797399041752,1.73497604380561,TRUE
1994-10-01,1.65092402464066,1.78735054684201,TRUE
1994-11-01,1.35797399041752,1.75633127994524,TRUE
1994-12-01,1.06502395619439,1.72356088225845,TRUE
1995-01-01,1.06502395619439,1.72356088225845,TRUE
1995-02-01,1.06502395619439,1.69542654470786,TRUE
1995-03-01,1.30595482546201,1.7282919115391,TRUE
1995-04-01,1.54688569472964,1.75721988063931,TRUE
1995-05-01,1.30595482546201,1.6972568841152,TRUE
1995-06-01,1.06502395619439,1.69617908765149,TRUE
1995-07-01,1.06091718001369,1.67748117727584,TRUE
1995-08-01,1.06502395619439,1.69908784869184,TRUE
1995-09-01,1.06502395619439,1.69908784869184,TRUE
1995-10-01,1.06502395619439,1.69908784869184,TRUE
1995-11-01,1.564681724846,1.75644079397673,TRUE
1995-12-01,1.564681724846,1.75644079397673,TRUE
1996-01-01,1.564681724846,1.80361185699995,TRUE
1996-02-01,1.564681724846,1.80361185699995,TRUE
1996-03-01,1.48665297741273,1.78218290949297,TRUE
1996-04-01,1.53319644079398,1.80086161774772,TRUE
1996-05-01,1.54688569472964,1.8562069591697,TRUE
1996-06-01,1.54688569472964,1.8562069591697,TRUE
1996-07-01,1.54688569472964,1.8562069591697,TRUE
1996-08-01,1.53319644079398,1.82131497362805,TRUE
1996-09-01,1.48665297741273,1.80261148844311,TRUE
1996-10-01,1.53319644079398,1.83828600209213,TRUE
1996-11-01,1.53319644079398,1.83828600209213,TRUE
1996-12-01,1.53319644079398,1.83828600209213,TRUE
1997-01-01,1.53319644079398,1.84896189824321,TRUE
1997-02-01,1.48665297741273,1.83748117727584,TRUE
1997-03-01,1.33333333333333,1.79625827059092,TRUE
1997-04-01,1.33333333333333,1.79625827059092,TRUE
1997-05-01,1.44010951403149,1.79323639106567,TRUE
1997-06-01,1.44010951403149,1.75863223964932,TRUE
1997-07-01,1.4154688569473,1.7680610916509,TRUE
1997-08-01,1.4154688569473,1.79220745676908,TRUE
1997-09-01,1.4154688569473,1.79220745676908,TRUE
1997-10-01,1.4154688569473,1.79220745676908,TRUE
1997-11-01,1.4154688569473,1.79220745676908,TRUE
1997-12-01,1.4154688569473,1.79220745676908,TRUE
1998-01-01,1.4154688569473,1.79220745676908,TRUE
1998-02-01,1.27583846680356,1.71600501939311,TRUE
1998-03-01,1.27583846680356,1.71640428929957,TRUE
1998-04-01,1.1937029431896,1.66586316697914,TRUE
1998-05-01,1.22655715263518,1.6924578036029,TRUE
1998-06-01,1.22655715263518,1.6924578036029,TRUE
1998-07-01,1.27583846680356,1.71556111061512,TRUE
1998-08-01,1.27583846680356,1.71556111061512,TRUE
1998-09-01,1.27583846680356,1.71556111061512,TRUE
1998-10-01,1.27583846680356,1.70921743098334,TRUE
1998-11-01,1.27583846680356,1.70921743098334,TRUE
1998-12-01,1.32511978097194,1.74948665297741,TRUE
1999-01-01,1.37029431895962,1.74439425051335,TRUE
1999-02-01,1.39082819986311,1.68835994356675,TRUE
