"d","v","mature"
2004-08-01,1.02121834360027,TRUE
2004-09-01,1.02121834360027,TRUE
2004-10-01,1.02121834360027,TRUE
2004-11-01,1.02121834360027,TRUE
2004-12-01,1.02121834360027,TRUE
2005-01-01,1.02121834360027,TRUE
2005-02-01,0.993839835728953,TRUE
2005-03-01,1.06502395619439,TRUE
2005-04-01,1.06502395619439,TRUE
2005-05-01,1.06502395619439,TRUE
2005-06-01,1.06502395619439,TRUE
2005-07-01,1.06502395619439,TRUE
2005-08-01,1.04585900068446,TRUE
2005-09-01,1.05954825462012,TRUE
2005-10-01,1.02121834360027,TRUE
2005-11-01,1.03353867214237,TRUE
2005-12-01,1.03353867214237,TRUE
2006-01-01,1.03353867214237,TRUE
2006-02-01,1.03353867214237,TRUE
2006-03-01,1.03353867214237,TRUE
2006-04-01,1.04585900068446,TRUE
2006-05-01,1.04585900068446,TRUE
2006-06-01,1.04585900068446,TRUE
2006-07-01,1.37166324435318,TRUE
2006-08-01,1.37166324435318,TRUE
2006-09-01,1.37166324435318,TRUE
2006-10-01,1.37166324435318,TRUE
2006-11-01,1.37166324435318,TRUE
2006-12-01,1.37166324435318,TRUE
2007-01-01,1.37166324435318,TRUE
2007-02-01,1.37166324435318,TRUE
2007-03-01,1.37166324435318,TRUE
2007-04-01,1.37166324435318,TRUE
2007-05-01,1.37166324435318,TRUE
2007-06-01,1.37166324435318,TRUE
2007-07-01,1.37166324435318,TRUE
2007-08-01,1.37166324435318,TRUE
2007-09-01,1.37166324435318,TRUE
2007-10-01,1.37166324435318,TRUE
2007-11-01,1.37166324435318,TRUE
2007-12-01,1.37166324435318,TRUE
2008-01-01,1.37166324435318,TRUE
2008-02-01,1.37166324435318,TRUE
2008-03-01,1.46475017111567,TRUE
2008-04-01,1.46475017111567,TRUE
2008-05-01,1.33607118412047,TRUE
2008-06-01,1.48939082819986,TRUE
2008-07-01,2.11635865845311,TRUE
2008-08-01,1.81519507186858,TRUE
2008-09-01,2.11635865845311,TRUE
2008-10-01,1.85626283367556,TRUE
2008-11-01,1.85626283367556,TRUE
2008-12-01,1.85626283367556,TRUE
2009-01-01,1.80150581793292,TRUE
2009-02-01,1.73032169746749,TRUE
2009-03-01,1.73032169746749,TRUE
2009-04-01,1.73032169746749,TRUE
2009-05-01,1.73032169746749,TRUE
2009-06-01,1.80150581793292,TRUE
2009-07-01,0.74880219028063,TRUE
2009-08-01,0.74880219028063,TRUE
2009-09-01,0.74880219028063,TRUE
2009-10-01,0.74880219028063,TRUE
2009-11-01,0.74880219028063,TRUE
2009-12-01,0.747433264887064,TRUE
2010-01-01,0.747433264887064,TRUE
2010-02-01,0.74880219028063,TRUE
2010-03-01,0.74880219028063,TRUE
2010-04-01,0.74880219028063,TRUE
2010-05-01,0.74880219028063,TRUE
2010-06-01,0.750171115674196,TRUE
2010-07-01,0.750171115674196,TRUE
2010-08-01,0.74880219028063,TRUE
2010-09-01,0.763860369609856,TRUE
2010-10-01,0.763860369609856,TRUE
2010-11-01,0.75564681724846,TRUE
2010-12-01,0.75564681724846,TRUE
2011-01-01,0.75564681724846,TRUE
2011-02-01,0.75564681724846,TRUE
2011-03-01,0.75564681724846,TRUE
2011-04-01,0.75564681724846,TRUE
2011-05-01,0.767967145790554,TRUE
2011-06-01,0.767967145790554,TRUE
2011-07-01,1.17316906228611,TRUE
2011-08-01,1.1772758384668,TRUE
2011-09-01,1.16769336071184,TRUE
2011-10-01,1.1772758384668,TRUE
2011-11-01,1.1772758384668,TRUE
2011-12-01,1.1772758384668,TRUE
2012-01-01,1.1772758384668,TRUE
2012-02-01,1.17316906228611,TRUE
2012-03-01,1.17316906228611,TRUE
2012-04-01,1.17316906228611,TRUE
2012-05-01,1.17316906228611,TRUE
2012-06-01,1.16906228610541,TRUE
2012-07-01,1.16769336071184,TRUE
2012-08-01,1.16769336071184,TRUE
2012-09-01,0.761122518822724,TRUE
2012-10-01,0.761122518822724,TRUE
2012-11-01,0.761122518822724,TRUE
2012-12-01,0.761122518822724,TRUE
2013-01-01,0.761122518822724,TRUE
2013-02-01,0.761122518822724,TRUE
2013-03-01,0.761122518822724,TRUE
2013-04-01,0.761122518822724,TRUE
2013-05-01,0.761122518822724,TRUE
2013-06-01,0.761122518822724,TRUE
2013-07-01,1.02395619438741,TRUE
2013-08-01,1.05133470225873,TRUE
2013-09-01,1.02395619438741,TRUE
2013-10-01,1.05133470225873,TRUE
2013-11-01,1.05544147843943,TRUE
2013-12-01,1.05544147843943,TRUE
2014-01-01,1.05544147843943,TRUE
2014-02-01,1.05544147843943,TRUE
2014-03-01,1.05133470225873,TRUE
2014-04-01,1.05133470225873,TRUE
2014-05-01,1.05133470225873,TRUE
2014-06-01,1.05133470225873,TRUE
2014-07-01,0.761122518822724,TRUE
2014-08-01,0.761122518822724,TRUE
2014-09-01,0.761122518822724,TRUE
2014-10-01,0.761122518822724,TRUE
2014-11-01,1.06091718001369,TRUE
2014-12-01,1.06091718001369,TRUE
2015-01-01,1.06091718001369,TRUE
2015-02-01,1.36618754277892,TRUE
