"t","early","late","gap"
0.25,0.915254237288135,0.799714896650036,-0.1155393406381
0.5,0.779661016949152,0.689950106913756,-0.089710910035396
1,0.576271186440678,0.483323490479584,-0.0929476959610934
1.5,0.491525423728814,0.431538830785343,-0.0599865929434704
2,0.322033898305085,0.345231064628275,0.0231971663231899
3,0.186440677966102,0.272550840496006,0.0861101625299045
4,0.135593220338983,0.0908502801653354,-0.0447429401736476
5,0.0508474576271186,0.0545101680992013,0.00366271047208262
